filename,crop_file,box_rank,crop_tag,box_conf,x1,y1,x2,y2,plate_truth
150.jpg,150__b0_A.png,0,A,0.6111928820610046,907,800,1205,895,SPI19846
150.jpg,150__b0_B.png,0,B,0.6111928820610046,907,800,1205,895,SPI19846
57.jpg,57__b0_A.png,0,A,0.9461842179298401,2088,397,2411,486,SK894RS
57.jpg,57__b0_B.png,0,B,0.9461842179298401,2088,397,2411,486,SK894RS
114.jpg,114__b0_A.png,0,A,0.2810855805873871,1294,686,1500,784,SBE48JU
114.jpg,114__b0_B.png,0,B,0.2810855805873871,1294,686,1500,784,SBE48JU
143(1).jpg,143(1)__b0_A.png,0,A,0.7890182137489319,1047,608,1141,637,SO0665L
143(1).jpg,143(1)__b0_B.png,0,B,0.7890182137489319,1047,608,1141,637,SO0665L
181.jpg,181__b0_A.png,0,A,0.944660484790802,1570,820,1766,871,STA5950A
181.jpg,181__b0_B.png,0,B,0.944660484790802,1570,820,1766,871,STA5950A
166.jpg,166__b0_A.png,0,A,0.3716575503349304,1298,836,1605,926,SL7185E
166.jpg,166__b0_B.png,0,B,0.3716575503349304,1298,836,1605,926,SL7185E
50.jpg,50__b0_A.png,0,A,0.9739058017730713,1659,369,2033,475,SO7183K
50.jpg,50__b0_B.png,0,B,0.9739058017730713,1659,369,2033,475,SO7183K
117.jpg,117__b0_A.png,0,A,0.9688200950622559,1667,756,1948,828,SK8843W
117.jpg,117__b0_B.png,0,B,0.9688200950622559,1667,756,1948,828,SK8843W
185.jpg,185__b0_A.png,0,A,0.9386920928955078,1257,818,1541,899,SD4350J
185.jpg,185__b0_B.png,0,B,0.9386920928955078,1257,818,1541,899,SD4350J
127.jpg,127__b0_A.png,0,A,0.9625973105430603,1503,640,1710,699,STA5468C
127.jpg,127__b0_B.png,0,B,0.9625973105430603,1503,640,1710,699,STA5468C
47.jpg,47__b0_A.png,0,A,0.9930208325386047,1690,571,2083,678,SBI01M5
47.jpg,47__b0_B.png,0,B,0.9930208325386047,1690,571,2083,678,SBI01M5
29.jpg,29__b0_A.png,0,A,0.9520241022109985,1799,353,2170,455,SO5220X
29.jpg,29__b0_B.png,0,B,0.9520241022109985,1799,353,2170,455,SO5220X
109.jpg,109__b0_A.png,0,A,0.891238808631897,1818,696,2118,772,SW58471
109.jpg,109__b0_B.png,0,B,0.891238808631897,1818,696,2118,772,SW58471
159.jpg,159__b0_A.png,0,A,0.966147243976593,1580,812,1866,886,SK743MW
159.jpg,159__b0_B.png,0,B,0.966147243976593,1580,812,1866,886,SK743MW
178.jpg,178__b0_A.png,0,A,0.9713132381439209,1577,774,1869,855,SR7916L
178.jpg,178__b0_B.png,0,B,0.9713132381439209,1577,774,1869,855,SR7916L
180.jpg,180__b0_A.png,0,A,0.9780545830726624,1409,762,1621,822,SJ4104C
180.jpg,180__b0_B.png,0,B,0.9780545830726624,1409,762,1621,822,SJ4104C
120.jpg,120__b0_A.png,0,A,0.9763145446777344,1651,661,1903,728,SM79962
120.jpg,120__b0_B.png,0,B,0.9763145446777344,1651,661,1903,728,SM79962
186.jpg,186__b0_A.png,0,A,0.8893703818321228,1028,743,1116,771,STA67KF
186.jpg,186__b0_B.png,0,B,0.8893703818321228,1028,743,1116,771,STA67KF
84.jpg,84__b0_A.png,0,A,0.9812755584716797,2068,485,2399,579,SGL03210
84.jpg,84__b0_B.png,0,B,0.9812755584716797,2068,485,2399,579,SGL03210
91.jpg,91__b0_A.png,0,A,0.9863057136535645,2065,484,2391,574,KOS0163G
91.jpg,91__b0_B.png,0,B,0.9863057136535645,2065,484,2391,574,KOS0163G
176.jpg,176__b0_A.png,0,A,0.8473068475723267,1269,780,1569,863,ST7736G
176.jpg,176__b0_B.png,0,B,0.8473068475723267,1269,780,1569,863,ST7736G
83.jpg,83__b0_A.png,0,A,0.9859157800674438,2068,456,2394,548,SK971JF
83.jpg,83__b0_B.png,0,B,0.9859157800674438,2068,456,2394,548,SK971JF
134.jpg,134__b0_A.png,0,A,0.8113397359848022,1766,628,2068,702,ST2105K
134.jpg,134__b0_B.png,0,B,0.8113397359848022,1766,628,2068,702,ST2105K
71.jpg,71__b0_A.png,0,A,0.9781994223594666,2133,458,2479,557,SD5421J
71.jpg,71__b0_B.png,0,B,0.9781994223594666,2133,458,2479,557,SD5421J
177.jpg,177__b0_A.png,0,A,0.6387996077537537,1126,812,1434,902,SR1279L
177.jpg,177__b0_B.png,0,B,0.6387996077537537,1126,812,1434,902,SR1279L
87.jpg,87__b0_A.png,0,A,0.9469847679138184,2020,430,2360,520,SG3707Y
87.jpg,87__b0_B.png,0,B,0.9469847679138184,2020,430,2360,520,SG3707Y
135.jpg,135__b0_A.png,0,A,0.6941533088684082,829,699,1116,790,SG0580W
135.jpg,135__b0_B.png,0,B,0.6941533088684082,829,699,1116,790,SG0580W
10.jpg,10__b0_A.png,0,A,0.9532241821289062,2095,376,2531,507,SK404XK
10.jpg,10__b0_B.png,0,B,0.9532241821289062,2095,376,2531,507,SK404XK
162.jpg,162__b0_A.png,0,A,0.4849292039871216,802,813,1114,910,SBE46085
162.jpg,162__b0_B.png,0,B,0.4849292039871216,802,813,1114,910,SBE46085
