epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,162.712,2.29726,6.12385,1.73484,0,0,0,0,2.06625,5.81903,1.8058,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,291.323,1.81536,5.32046,1.42392,6e-05,0.01695,3e-05,1e-05,1.67389,5.1101,1.44188,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
3,402.995,1.44485,4.67838,1.18761,0.00045,0.13559,0.00026,0.00015,1.31782,4.63261,1.13466,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408
4,502.294,1.23187,4.22161,1.06748,0.00164,0.49153,0.00143,0.00072,1.09107,4.2943,0.98273,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842
5,605.949,1.11648,3.70411,1.00025,0.00232,0.69492,0.00363,0.00188,0.97756,3.99073,0.93769,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304
6,698.256,1.08875,2.40423,0.99037,0.00311,0.9322,0.77669,0.54436,0.98028,3.41714,0.98157,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506
7,784.071,1.11259,1.99956,0.95629,1,0.33868,0.93127,0.65108,1.01367,3.14262,0.99089,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269
8,878.009,1.08034,1.87414,0.98542,1,0.25462,0.91421,0.64071,1.03532,3.18298,0.9801,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319
9,968.653,1.03801,1.73843,0.94331,1,0.3437,0.96531,0.70438,0.98722,3.00597,0.97277,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656
10,1043.8,1.01273,1.60788,0.94626,1,0.74997,0.96523,0.71647,0.92385,2.69461,0.95305,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628
11,1122.35,1.01816,1.5749,0.94133,1,0.92945,0.96532,0.71969,0.94922,2.47919,0.95265,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192
12,1208.28,1.00263,1.52725,0.93186,0.99939,0.9661,0.97435,0.69446,1.00441,2.35794,0.95345,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,1284.53,0.93411,1.45545,0.91024,0.99613,0.9661,0.98618,0.72661,0.9828,2.1806,0.94979,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,1361.2,0.96147,1.45138,0.93853,0.99195,0.9661,0.9918,0.74603,0.96675,1.99059,0.95797,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,1450.81,0.90757,1.35767,0.89667,0.97594,0.9661,0.99069,0.73499,0.97205,1.86009,0.94378,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,1549.12,0.96122,1.36474,0.89345,0.9926,0.9661,0.9905,0.75953,0.88323,1.68569,0.93374,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,1634.76,0.91434,1.28227,0.90504,0.98292,0.97527,0.99246,0.75338,0.89412,1.53065,0.93654,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,2410.29,0.89143,1.24934,0.91129,0.99235,0.9661,0.99286,0.77596,0.8668,1.42638,0.92888,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,2501.14,0.8949,1.2038,0.87966,1,0.97877,0.99355,0.76683,0.88346,1.40039,0.94398,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,2590.79,0.86973,1.27081,0.875,1,0.98061,0.99368,0.76821,0.86425,1.32022,0.92722,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,2689.17,0.86063,1.20174,0.86732,1,0.98133,0.99408,0.74555,0.93079,1.29839,0.9382,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,2768.17,0.88217,1.21223,0.89374,1,0.98164,0.99437,0.76033,0.88212,1.27287,0.93168,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,2869,0.84828,1.11491,0.88711,1,0.98145,0.99437,0.76505,0.90322,1.21236,0.93404,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,2974.2,0.83216,1.08884,0.86704,1,0.98163,0.99467,0.77494,0.83949,1.14515,0.92323,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,3061.28,0.83692,1.13656,0.88598,1,0.99403,0.995,0.76839,0.86749,1.1828,0.92519,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,3138.57,0.8542,1.08339,0.86566,1,0.99467,0.995,0.76949,0.85841,1.15877,0.92518,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,3214.83,0.79279,1.1118,0.88562,1,0.99502,0.995,0.77352,0.82401,1.11497,0.92155,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,3299.61,0.76903,1.0338,0.86806,1,0.99671,0.995,0.77398,0.84231,1.1051,0.91996,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,3381.35,0.75975,1.06224,0.86627,1,0.996,0.995,0.76276,0.8472,1.09453,0.9236,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,3457.24,0.77903,0.99619,0.85601,1,0.99647,0.995,0.75762,0.88503,1.08515,0.93159,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,3535.54,0.77578,0.99324,0.85861,1,0.99638,0.995,0.75642,0.88787,1.0834,0.92448,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,3624.93,0.81834,0.98994,0.85681,1,0.99654,0.995,0.77167,0.8526,1.04779,0.92949,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,3709.98,0.73781,0.94702,0.84508,1,0.99678,0.995,0.76064,0.88327,1.04439,0.92774,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,3792.51,0.73907,0.90615,0.86277,1,0.99656,0.995,0.76738,0.86041,1.01515,0.92769,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,3879.64,0.77497,0.93841,0.85533,1,0.99643,0.995,0.7725,0.8764,1.02688,0.92457,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,3966.51,0.74253,0.95385,0.85529,1,0.99664,0.995,0.76073,0.85511,1.00548,0.91797,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,4042.54,0.7474,0.94515,0.85225,1,0.99674,0.995,0.76492,0.8962,1.01008,0.92534,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,4119.82,0.72271,0.92908,0.86334,1,0.99726,0.995,0.75947,0.88842,0.99581,0.92027,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
