epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.9817,2.0003,5.90456,1.51992,0.00153,0.45763,0.00121,0.00055,1.15486,4.01373,1.00353,0.00323529,0.00323529,0.0708824
2,102.095,1.55683,3.21017,1.1283,1,0.35189,0.87313,0.32044,1.79066,2.88075,1.47742,0.0065036,0.0065036,0.0408173
3,148.051,1.7732,2.50463,1.23549,1,0.07241,0.76982,0.38014,1.55798,2.98371,1.2776,0.0097059,0.0097059,0.0106863
4,193.321,1.65907,2.28732,1.15858,0.95382,0.86441,0.93869,0.51201,1.42708,2.15675,1.20702,0.009703,0.009703,0.009703
5,238.932,1.70545,2.08898,1.16451,0.90858,0.79661,0.88329,0.46917,1.54257,1.7222,1.29391,0.009604,0.009604,0.009604
6,284.032,1.55756,1.93244,1.19681,0.74861,0.86441,0.85884,0.3985,1.63663,2.06756,1.45213,0.009505,0.009505,0.009505
7,329.97,1.56613,1.94768,1.16576,0.94312,0.91525,0.96391,0.57789,1.41285,2.08148,1.21109,0.009406,0.009406,0.009406
8,375.759,1.27639,2.06557,1.02333,0.93505,0.98305,0.96936,0.63525,1.23512,1.46909,1.0945,0.009307,0.009307,0.009307
9,421.551,1.32792,1.64316,1.02479,0.86775,0.9661,0.9751,0.60974,1.22664,1.35467,1.09141,0.009208,0.009208,0.009208
10,466.3,1.37341,1.63821,1.0427,0.96427,0.9322,0.97822,0.65399,1.11216,1.76186,1.02566,0.009109,0.009109,0.009109
11,514.956,1.35102,1.37295,1.02721,0.97752,0.94915,0.98728,0.63872,1.21744,1.56992,1.12287,0.00901,0.00901,0.00901
12,562.755,1.19055,1.36553,1.00351,0.98226,0.9386,0.98167,0.63525,1.26441,1.05251,1.16897,0.008911,0.008911,0.008911
13,607.691,1.29508,1.30023,1.03653,0.99179,0.94915,0.99006,0.66822,1.14475,0.90391,1.0353,0.008812,0.008812,0.008812
14,653.128,1.21411,1.23257,1.04366,0.94972,0.96056,0.9903,0.68542,1.12282,0.92884,1.00537,0.008713,0.008713,0.008713
15,697.713,1.19303,1.12462,0.99106,0.96665,0.9827,0.99095,0.66897,1.08969,1.15898,0.99832,0.008614,0.008614,0.008614
16,749.051,1.103,1.20365,0.9723,0.96484,0.98305,0.99201,0.67678,1.07646,1.14565,0.99388,0.008515,0.008515,0.008515
17,800.754,1.14178,1.10731,0.95106,0.98903,0.98305,0.99355,0.65901,1.11737,0.91229,1.00055,0.008416,0.008416,0.008416
18,850.902,1.16255,1.03254,0.98792,0.99211,0.98305,0.99408,0.66375,1.1839,0.73821,1.00869,0.008317,0.008317,0.008317
19,901.22,1.11443,0.93052,0.95218,0.99495,0.98305,0.99483,0.66081,1.16089,0.71401,0.99758,0.008218,0.008218,0.008218
20,947.159,1.10954,0.94181,0.92975,1,0.99761,0.995,0.66001,1.18093,0.71335,0.9953,0.008119,0.008119,0.008119
21,992.604,1.08381,0.87876,0.92262,1,0.99791,0.995,0.643,1.21103,0.73723,1.03501,0.00802,0.00802,0.00802
22,1038.21,1.08447,0.86808,0.9665,1,0.99803,0.995,0.69485,1.03283,0.76948,0.98423,0.007921,0.007921,0.007921
23,1084.18,1.17594,0.9112,0.97066,1,0.99722,0.995,0.67584,1.03425,0.71082,0.9795,0.007822,0.007822,0.007822
24,1129.1,1.12832,0.84187,0.92192,0.99689,0.98305,0.99483,0.67116,1.10073,0.6801,0.98778,0.007723,0.007723,0.007723
25,1174.52,1.02115,0.8378,0.93905,0.98305,0.98272,0.99403,0.6363,1.03872,0.80015,0.97181,0.007624,0.007624,0.007624
26,1220.48,1.05982,0.83897,0.90344,1,0.98298,0.99467,0.72954,1.00761,0.63935,0.97121,0.007525,0.007525,0.007525
27,1266.08,1.03628,0.76847,0.94141,1,0.98215,0.99467,0.68689,1.08175,0.5978,0.98042,0.007426,0.007426,0.007426
28,1310.67,1.00311,0.73784,0.93344,1,0.98261,0.99452,0.66216,1.04639,0.68789,0.97754,0.007327,0.007327,0.007327
29,1355.79,0.97223,0.7359,0.92151,1,0.98103,0.99368,0.70486,1.09843,0.58686,0.98305,0.007228,0.007228,0.007228
30,1401.73,1.01034,0.69053,0.91424,0.99825,0.98305,0.99381,0.71419,1.03163,0.61023,0.97122,0.007129,0.007129,0.007129
31,1446.67,1.01897,0.69704,0.92603,0.99551,0.98305,0.99408,0.68249,1.09544,0.59849,0.98285,0.00703,0.00703,0.00703
32,1492.29,1.00891,0.68006,0.89246,1,0.96313,0.99408,0.68077,1.11248,0.60723,0.97788,0.006931,0.006931,0.006931
33,1537.56,0.98569,0.68693,0.90485,1,0.94764,0.99274,0.69981,1.09579,0.62759,0.97332,0.006832,0.006832,0.006832
34,1582.84,0.97102,0.64888,0.90389,1,0.94718,0.99335,0.74532,0.96743,0.55181,0.94693,0.006733,0.006733,0.006733
35,1629.11,1.01219,0.66953,0.91066,0.98303,0.98183,0.99417,0.72383,1.04128,0.60036,0.95542,0.006634,0.006634,0.006634
