epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,47.1764,2.32115,5.92299,1.7578,0,0,0,0,1.83943,5.27806,1.64708,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,94.2642,1.66267,4.85567,1.37818,0.00034,0.10169,0.00019,0.00013,1.21594,4.49184,1.12648,0.0019604,0.000653466,0.0019604,0.000653466,0.0019604,0.000653466,0.0019604,0.000653466
3,141.421,1.20156,4.19397,1.09757,0.00186,0.55932,0.00183,0.00093,1.01392,4.14739,0.9495,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802,0.0029406,0.0009802
4,194.854,1.02448,3.53604,1.0013,0.00243,0.72881,0.00376,0.00208,0.99772,3.87455,0.94559,0.00390061,0.0013002,0.00390061,0.0013002,0.00390061,0.0013002,0.00390061,0.0013002
5,240.102,0.93073,2.39752,0.95381,0.94178,0.77966,0.91331,0.62765,1.17525,2.5778,1.07224,0.00484042,0.00161347,0.00484042,0.00161347,0.00484042,0.00161347,0.00484042,0.00161347
6,287.385,1.00125,1.88567,0.94798,1,0.92708,0.93515,0.62939,1.13378,2.01032,1.04276,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,332.312,0.9179,1.82315,0.94601,1,0.93101,0.93531,0.66688,1.0435,1.78977,1.02078,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,378.422,0.94407,1.52786,0.93595,1,0.92737,0.93534,0.6692,1.08049,1.92314,1.00965,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,417.691,0.91418,1.55468,0.90758,0.99411,0.9322,0.93569,0.67573,1.0476,1.93687,0.99676,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,457.467,0.93746,1.50059,0.91652,0.99784,0.9322,0.93891,0.64379,1.14439,1.75914,1.04036,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,497.91,0.94204,1.43775,0.91029,0.99862,0.9322,0.97542,0.70043,0.9813,1.57043,0.95226,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
